,score
1,2.086111402134137
26,2.086111402134137
106,2.086111402134137
148,0.8149985092632722
149,0.8149985092632722
10,0.7918306442112463
37,0.4190831871576491
45,0.4190831871576491
56,0.4190831871576491
109,0.4190831871576491
112,0.4190831871576491
113,0.4190831871576491
114,0.4190831871576491
127,0.4190831871576491
131,0.4190831871576491
136,0.4190831871576491
143,0.4190831871576491
144,0.4190831871576491
145,0.4190831871576491
146,0.4190831871576491
7,0.39591532210562314
8,0.39591532210562314
9,0.39591532210562314
12,0.39591532210562314
24,0.39591532210562314
25,0.39591532210562314
30,0.39591532210562314
59,0.39591532210562314
60,0.39591532210562314
62,0.39591532210562314
63,0.39591532210562314
64,0.39591532210562314
65,0.39591532210562314
66,0.39591532210562314
70,0.39591532210562314
71,0.39591532210562314
83,0.39591532210562314
84,0.39591532210562314
99,0.39591532210562314
100,0.39591532210562314
3,0.02316786505202597
4,0.02316786505202597
5,0.02316786505202597
6,0.02316786505202597
31,0.02316786505202597
32,0.02316786505202597
33,0.02316786505202597
34,0.02316786505202597
35,0.02316786505202597
36,0.02316786505202597
38,0.02316786505202597
39,0.02316786505202597
40,0.02316786505202597
41,0.02316786505202597
42,0.02316786505202597
43,0.02316786505202597
44,0.02316786505202597
46,0.02316786505202597
47,0.02316786505202597
48,0.02316786505202597
49,0.02316786505202597
50,0.02316786505202597
51,0.02316786505202597
52,0.02316786505202597
53,0.02316786505202597
54,0.02316786505202597
55,0.02316786505202597
57,0.02316786505202597
58,0.02316786505202597
110,0.02316786505202597
111,0.02316786505202597
115,0.02316786505202597
116,0.02316786505202597
117,0.02316786505202597
118,0.02316786505202597
119,0.02316786505202597
120,0.02316786505202597
121,0.02316786505202597
122,0.02316786505202597
123,0.02316786505202597
124,0.02316786505202597
125,0.02316786505202597
126,0.02316786505202597
128,0.02316786505202597
129,0.02316786505202597
130,0.02316786505202597
132,0.02316786505202597
133,0.02316786505202597
134,0.02316786505202597
135,0.02316786505202597
137,0.02316786505202597
138,0.02316786505202597
139,0.02316786505202597
140,0.02316786505202597
141,0.02316786505202597
142,0.02316786505202597
147,0.02316786505202597
